analysis_type,accepted_count,coverage,distance_max,is_frozen_cutoff,comparator,metric,proposed_mean,comparator_mean,effect,ci_low,ci_high,bootstrap_repeats
relative_reduction,500,0.5,0.2560710637374899,False,zero_shot_active,barrier_abs_error,0.10413399403027548,0.1778200423139734,0.41438550640760663,0.23492229538918089,0.5496561702431768,5000
joint_regression_rate,500,0.5,0.2560710637374899,False,zero_shot_active,both_endpoints,,,0.128,0.1,0.158,5000
relative_reduction,500,0.5,0.2560710637374899,False,learned_equal,profile_mae,0.3011290393272734,0.3301595515758978,0.08792873660646106,0.02954353005330548,0.14523021143640197,5000
relative_reduction,500,0.5,0.2560710637374899,False,learned_equal,barrier_abs_error,0.10413399403027548,0.3479158136575822,0.7006919779370423,0.6263600664289131,0.7667859872374108,5000
joint_regression_rate,500,0.5,0.2560710637374899,False,learned_equal,both_endpoints,,,0.092,0.068,0.118,5000
relative_reduction,600,0.6,0.2917868999648706,False,zero_shot_active,profile_mae,0.30972857693850375,0.3892125299131589,0.20421735392842988,0.15756107319638146,0.24661291360256826,5000
relative_reduction,600,0.6,0.2917868999648706,False,zero_shot_active,barrier_abs_error,0.10554004009172388,0.1768572799892492,0.4032474088816731,0.25387808866536293,0.5259314038969894,5000
joint_regression_rate,600,0.6,0.2917868999648706,False,zero_shot_active,both_endpoints,,,0.13333333333333333,0.10666666666666667,0.16166666666666665,5000
relative_reduction,600,0.6,0.2917868999648706,False,learned_equal,profile_mae,0.30972857693850375,0.33690353364118475,0.08066094293811521,0.029863489125972517,0.1300241542325554,5000
relative_reduction,600,0.6,0.2917868999648706,False,learned_equal,barrier_abs_error,0.10554004009172388,0.3563187747818055,0.7038044370343602,0.6362247619603558,0.7647006222561032,5000
joint_regression_rate,600,0.6,0.2917868999648706,False,learned_equal,both_endpoints,,,0.1,0.07666666666666666,0.125,5000
relative_reduction,700,0.7,0.3452925104361683,False,zero_shot_active,profile_mae,0.31370000237773227,0.400935743906931,0.21758035509412876,0.17162842575158765,0.26058474403336807,5000
relative_reduction,700,0.7,0.3452925104361683,False,zero_shot_active,barrier_abs_error,0.11269106339332573,0.17808695424743864,0.36721325899734447,0.22962309241123766,0.4853525004260174,5000
joint_regression_rate,700,0.7,0.3452925104361683,False,zero_shot_active,both_endpoints,,,0.13142857142857142,0.10714285714285714,0.15714285714285714,5000
relative_reduction,700,0.7,0.3452925104361683,False,learned_equal,profile_mae,0.31370000237773227,0.34910257446745263,0.10141022919617859,0.05192925658966398,0.14599593743987696,5000
relative_reduction,700,0.7,0.3452925104361683,False,learned_equal,barrier_abs_error,0.11269106339332573,0.37298865756915833,0.697869999244063,0.6334361547608428,0.7523874538660219,5000
joint_regression_rate,700,0.7,0.3452925104361683,False,learned_equal,both_endpoints,,,0.1,0.07857142857142857,0.12285714285714286,5000
relative_reduction,735,0.735,0.3649812454053676,True,zero_shot_active,profile_mae,0.3130851631250114,0.3986180208799423,0.2145734845758318,0.1714895133365903,0.25726690804284746,5000
relative_reduction,735,0.735,0.3649812454053676,True,zero_shot_active,barrier_abs_error,0.11470719887127281,0.17737617857992735,0.353311139130305,0.21922007839979796,0.4659506064967866,5000
joint_regression_rate,735,0.735,0.3649812454053676,True,zero_shot_active,both_endpoints,,,0.12789115646258503,0.10340136054421768,0.15374149659863945,5000
relative_reduction,735,0.735,0.3649812454053676,True,learned_equal,profile_mae,0.3130851631250114,0.3494899544335195,0.10416548700953598,0.05440280291403939,0.149099050926705,5000
relative_reduction,735,0.735,0.3649812454053676,True,learned_equal,barrier_abs_error,0.11470719887127281,0.37376123378024234,0.6931003311629789,0.6295157274992944,0.7497878275437069,5000
joint_regression_rate,735,0.735,0.3649812454053676,True,learned_equal,both_endpoints,,,0.09795918367346938,0.0775170068027211,0.11972789115646258,5000
relative_reduction,800,0.8,0.4275883799574004,False,zero_shot_active,profile_mae,0.32180209881444005,0.39894197648124274,0.19336114576659402,0.15077786611971764,0.23490338547443285,5000
relative_reduction,800,0.8,0.4275883799574004,False,zero_shot_active,barrier_abs_error,0.12376653866274148,0.1833442305539872,0.3249499136745543,0.2004608971593855,0.4372878561803894,5000
joint_regression_rate,800,0.8,0.4275883799574004,False,zero_shot_active,both_endpoints,,,0.13625,0.11375,0.16,5000
relative_reduction,800,0.8,0.4275883799574004,False,learned_equal,profile_mae,0.32180209881444005,0.35633975853494854,0.09692339654296855,0.0516236629545009,0.1412366095365991,5000
relative_reduction,800,0.8,0.4275883799574004,False,learned_equal,barrier_abs_error,0.12376653866274148,0.38253558016118944,0.6764574458391822,0.5993873869525674,0.7421140942729777,5000
joint_regression_rate,800,0.8,0.4275883799574004,False,learned_equal,both_endpoints,,,0.1,0.08,0.12125,5000
relative_reduction,900,0.9,0.5670403992441706,False,zero_shot_active,profile_mae,0.3199737317082183,0.39360075818803736,0.18706017442335499,0.14725151326535257,0.22478689497325258,5000
relative_reduction,900,0.9,0.5670403992441706,False,zero_shot_active,barrier_abs_error,0.12433600625267355,0.18074263413090474,0.31208258167454894,0.19907459649979964,0.41676240315693047,5000
joint_regression_rate,900,0.9,0.5670403992441706,False,zero_shot_active,both_endpoints,,,0.13777777777777778,0.11555555555555555,0.16111111111111112,5000
relative_reduction,900,0.9,0.5670403992441706,False,learned_equal,profile_mae,0.3199737317082183,0.3602209241520503,0.11172919101957435,0.06085450885299118,0.16140282821928076,5000
relative_reduction,900,0.9,0.5670403992441706,False,learned_equal,barrier_abs_error,0.12433600625267355,0.40990393817002946,0.696670378899608,0.6230509413679516,0.7541186297236341,5000
joint_regression_rate,900,0.9,0.5670403992441706,False,learned_equal,both_endpoints,,,0.09666666666666666,0.07777777777777778,0.11666666666666667,5000
relative_reduction,1000,1.0,5.358578301766242,False,zero_shot_active,profile_mae,0.3156665241399749,0.3880421173675842,0.1865147879271295,0.14837287653690392,0.22268064846088856,5000
relative_reduction,1000,1.0,5.358578301766242,False,zero_shot_active,barrier_abs_error,0.12263217235787621,0.18289880271569825,0.32950806381986963,0.21649442047977116,0.43135488934647437,5000
joint_regression_rate,1000,1.0,5.358578301766242,False,zero_shot_active,both_endpoints,,,0.143,0.121,0.16402499999999964,5000
relative_reduction,1000,1.0,5.358578301766242,False,learned_equal,profile_mae,0.3156665241399749,0.35742595939692373,0.11683380616060601,0.0685514731009673,0.16461562080798203,5000
relative_reduction,1000,1.0,5.358578301766242,False,learned_equal,barrier_abs_error,0.12263217235787621,0.41483576591130916,0.7043838009278721,0.6405543926998668,0.7579476127675903,5000
joint_regression_rate,1000,1.0,5.358578301766242,False,learned_equal,both_endpoints,,,0.095,0.078,0.113,5000
