role,profile,method,candidate_index,angle_rad,target_relative_kcal_mol,prior_relative_kcal_mol,posterior_relative_kcal_mol,selected,selected_order
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,6,-1.5707964,1.5,5.552700877189636,10.568413286735701,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,7,-1.3089969,2.75,5.223901033401489,13.291621994096499,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,8,-1.0471976,2.75,5.520098805427551,15.886743708415551,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,9,-0.7853982,2.125,4.827320337295532,16.979214403722388,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,10,-0.5235988,3.625,6.429118633270264,20.000550747218842,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,11,-0.2617994,5.5,8.437849283218384,22.883304056174914,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,12,-2.4404543e-09,8.0,9.640597105026245,23.972406371784,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,13,0.2617994,2.75,3.1290926933288574,16.11401437581717,True,4
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,14,0.5235988,2.8125,3.271013379096985,14.098425206693213,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,15,0.7853982,1.5625,3.928296446800232,13.110877318780904,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,16,1.0471976,0.25,4.583244204521179,13.61401437581717,True,3
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,17,1.3089969,0.25,5.775239944458008,15.77406443886225,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,18,1.5707964,1.75,7.942478179931641,17.917166958591327,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,19,1.8325957,3.625,9.172299668192863,16.98901437581717,True,5
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,20,2.0943952,6.0625,11.123502850532532,15.996437467637266,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,21,2.3561945,4.0,12.629065707325935,17.36401437581717,True,2
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,22,2.6179938,2.4375,8.584581851959229,17.432084743432984,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,23,2.8797932,2.3125,3.182303249835968,16.369745843458155,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,0,-3.1415927,0.0,0.1875,0.0,True,4
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,1,-2.8797932,3.375,9.375,10.513204397653432,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,2,-2.6179938,0.9375,0.0,0.9375,True,1
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,3,-2.3561945,1.3125,1.9375,1.8549374854329446,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,4,-2.0943952,0.875,3.5625,2.368530116881315,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,5,-1.8325957,0.75,4.125,2.115649621423862,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,6,-1.5707964,1.5,5.5,3.0443802078333,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,7,-1.3089969,2.75,5.1875,2.6146339305098625,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,8,-1.0471976,2.75,4.9375,2.5554262546529034,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,9,-0.7853982,2.125,4.0,2.125,True,6
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,zero_shot_active,10,-0.5235988,3.625,5.5625,4.477664806724354,False,0
