method,budget,metric,mean,ci_low,ci_high,profile_count,bootstrap_repeats
random_path_gp,2,barrier_abs_error,5.976701450422291,5.741685167297499,6.21715074918741,1000,5000
random_path_gp,4,profile_mae,2.03926079466873,1.9663857672282177,2.1118595577829367,1000,5000
random_path_gp,4,barrier_abs_error,3.268591730927488,3.1214759707271216,3.4145441970750525,1000,5000
random_path_gp,6,profile_mae,1.5169686253518821,1.4548834728329967,1.580467170109368,1000,5000
random_path_gp,6,barrier_abs_error,2.170282898869301,2.054295166749491,2.2864097682314273,1000,5000
zero_shot_active,0,profile_mae,1.1245480756102129,1.0628101183994716,1.1903456653173468,1000,5000
zero_shot_active,0,barrier_abs_error,1.7179375,1.6019160156249999,1.8397515625,1000,5000
zero_shot_active,1,profile_mae,0.971647785204774,0.9132635580264796,1.033089341868623,1000,5000
zero_shot_active,1,barrier_abs_error,1.2470830447338677,1.148439437923438,1.349351592717198,1000,5000
zero_shot_active,2,profile_mae,0.849920535831682,0.7998003533327291,0.9065575879503663,1000,5000
zero_shot_active,2,barrier_abs_error,0.7057433358061723,0.6226506602508536,0.8008371492012595,1000,5000
zero_shot_active,4,profile_mae,0.6105519028262264,0.565513101088925,0.662361338197286,1000,5000
zero_shot_active,4,barrier_abs_error,0.32901972627970316,0.267578726689404,0.406720114552922,1000,5000
zero_shot_active,6,profile_mae,0.45016347491536596,0.4094563679558158,0.49678576255355417,1000,5000
