axis,level,comparator,metric,profile_count,proposed_mean,comparator_mean,relative_reduction,ci_low,ci_high,win_count,tie_count,loss_count,win_fraction
central_bond_class,C-C,learned_equal,barrier_abs_error,475,0.11868017139700059,0.33332216629602285,0.6439475576562739,0.40307405260368245,0.7901298691243052,307,107,61,0.6463157894736842
central_bond_class,C-N,zero_shot_active,profile_mae,368,0.3476304060656323,0.5965796309272557,0.41729420844403453,0.35166320124479067,0.47813339283636375,263,0,105,0.7146739130434783
central_bond_class,C-N,zero_shot_active,barrier_abs_error,368,0.11451730834737461,0.30791383887700186,0.6280865167832899,0.4638978450040155,0.7444317513788865,119,176,73,0.3233695652173913
central_bond_class,C-N,learned_equal,profile_mae,368,0.3476304060656323,0.37650148143128354,0.07668250136997301,0.021603010015875154,0.13013397688037084,184,1,183,0.5
central_bond_class,C-N,learned_equal,barrier_abs_error,368,0.11451730834737461,0.3811774873346836,0.6995695911945988,0.6028320105949834,0.7791133058002438,234,79,55,0.6358695652173914
central_bond_class,C-O,zero_shot_active,profile_mae,63,0.37549596585012596,0.4287943299268123,0.12429820162450256,0.064085131537482,0.24499249451661742,44,0,19,0.6984126984126984
central_bond_class,C-O,zero_shot_active,barrier_abs_error,63,0.41103361727979876,0.47926361101087234,0.14236422745962607,0.03393342434889361,0.7911276667055237,14,36,13,0.2222222222222222
central_bond_class,C-O,learned_equal,profile_mae,63,0.37549596585012596,0.38419925279842526,0.022653055374018627,-0.05565386140496243,0.11355979519756325,31,0,32,0.49206349206349204
central_bond_class,C-O,learned_equal,barrier_abs_error,63,0.41103361727979876,0.6594205042958767,0.3766744973775167,0.21187341973718435,0.9045205714243971,43,16,4,0.6825396825396826
central_bond_class,other_central_bonds,zero_shot_active,profile_mae,94,0.467181975831707,0.5059191004172029,0.07656782389427785,-0.019727664814846124,0.1749504291521929,51,0,43,0.5425531914893617
central_bond_class,other_central_bonds,zero_shot_active,barrier_abs_error,94,0.2985794191452646,0.29426803623981174,-0.014651210374541979,-0.37067985479849175,0.22711363469781887,34,39,21,0.3617021276595745
central_bond_class,other_central_bonds,learned_equal,profile_mae,94,0.467181975831707,0.5482796040850093,0.1479129036518534,-0.012068426303277374,0.2840103350188201,60,0,34,0.6382978723404256
central_bond_class,other_central_bonds,learned_equal,barrier_abs_error,94,0.2985794191452646,0.6712060320150453,0.5551598095015751,0.34277832467097796,0.7524948886221827,63,12,19,0.6702127659574468
formal_charge_class,negative,zero_shot_active,profile_mae,53,0.6529732940829528,0.7732573832577313,0.1555550477488129,-0.004067801573791206,0.3064187751299714,32,0,21,0.6037735849056604
formal_charge_class,negative,zero_shot_active,barrier_abs_error,53,0.5244240163024002,0.5855055829788376,0.1043227741154521,-0.21392221759264213,0.3696166006142726,18,20,15,0.33962264150943394
formal_charge_class,negative,learned_equal,profile_mae,53,0.6529732940829528,0.6468229505417938,-0.009508542540129783,-0.2591279144935555,0.18319656915622962,29,0,24,0.5471698113207547
formal_charge_class,negative,learned_equal,barrier_abs_error,53,0.5244240163024002,0.7651600790158112,0.31462182792267246,0.025024449575660013,0.5781087456271485,28,12,13,0.5283018867924528
formal_charge_class,neutral,zero_shot_active,profile_mae,897,0.32313321173912213,0.4367588801878652,0.26015651564970743,0.17816418921579255,0.3255020257849675,576,0,321,0.6421404682274248
formal_charge_class,neutral,zero_shot_active,barrier_abs_error,897,0.1349322024385837,0.21608611122900606,0.3755628176602993,0.15207241802159024,0.5668146600900806,242,489,166,0.2697881828316611
formal_charge_class,neutral,learned_equal,profile_mae,897,0.32313321173912213,0.3477140431505228,0.07069266224821358,-0.02184494940942359,0.13498252394351423,481,1,415,0.5362318840579711
formal_charge_class,neutral,learned_equal,barrier_abs_error,897,0.1349322024385837,0.3808619129709113,0.6457188344561793,0.514368300509752,0.7608737602511222,582,194,121,0.6488294314381271
formal_charge_class,positive,zero_shot_active,profile_mae,50,0.30829718863993677,0.34816236148382307,0.11450167293783875,-0.05662153550712158,0.2523092853684576,28,0,22,0.56
formal_charge_class,positive,zero_shot_active,barrier_abs_error,50,0.07296751444509075,0.09693863858599096,0.24728141936547043,-0.4649834199256406,0.57268035775319,16,19,15,0.32
formal_charge_class,positive,learned_equal,profile_mae,50,0.30829718863993677,0.47111964762536795,0.34560744771762697,0.20200704181331122,0.4614442780072178,36,0,14,0.72
formal_charge_class,positive,learned_equal,barrier_abs_error,50,0.07296751444509075,0.4210316597416695,0.8266935211241333,0.7329561960023911,0.8925128831185973,37,8,5,0.74
