method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.140784245183381,0.276,1000
learned_active,6,profile_mae,0.1410734199935117,0.277,1000
learned_active,6,profile_mae,0.1413311965610665,0.278,1000
learned_active,6,profile_mae,0.1415152961900928,0.279,1000
learned_active,6,profile_mae,0.1416717888787129,0.28,1000
learned_active,6,profile_mae,0.1423049897103077,0.281,1000
learned_active,6,profile_mae,0.1426936725588101,0.282,1000
learned_active,6,profile_mae,0.1428151457790568,0.283,1000
learned_active,6,profile_mae,0.1431312921769403,0.284,1000
learned_active,6,profile_mae,0.1432536275302586,0.285,1000
learned_active,6,profile_mae,0.143502578293521,0.286,1000
learned_active,6,profile_mae,0.1436146551151872,0.287,1000
learned_active,6,profile_mae,0.1441690286666177,0.288,1000
learned_active,6,profile_mae,0.1448489146309597,0.289,1000
learned_active,6,profile_mae,0.14487367759764,0.29,1000
learned_active,6,profile_mae,0.1451003928291203,0.291,1000
learned_active,6,profile_mae,0.1457357204509635,0.292,1000
learned_active,6,profile_mae,0.1460143695423677,0.293,1000
learned_active,6,profile_mae,0.1461082232512186,0.294,1000
learned_active,6,profile_mae,0.1464602602614919,0.295,1000
learned_active,6,profile_mae,0.1469098774747525,0.296,1000
learned_active,6,profile_mae,0.1470755460374566,0.297,1000
learned_active,6,profile_mae,0.1472730946235626,0.298,1000
learned_active,6,profile_mae,0.1482238349953863,0.299,1000
learned_active,6,profile_mae,0.1489599584804846,0.3,1000
learned_active,6,profile_mae,0.1494510240172277,0.301,1000
learned_active,6,profile_mae,0.1497459688465649,0.302,1000
learned_active,6,profile_mae,0.1498722642030857,0.303,1000
learned_active,6,profile_mae,0.1498990416405109,0.304,1000
learned_active,6,profile_mae,0.1499924639336647,0.305,1000
learned_active,6,profile_mae,0.1503295004327076,0.306,1000
learned_active,6,profile_mae,0.1507353449163523,0.307,1000
learned_active,6,profile_mae,0.1508413338302805,0.308,1000
learned_active,6,profile_mae,0.1516677740862121,0.309,1000
learned_active,6,profile_mae,0.1520443307306608,0.31,1000
learned_active,6,profile_mae,0.153010795016663,0.311,1000
learned_active,6,profile_mae,0.1534856571590154,0.312,1000
learned_active,6,profile_mae,0.1536185423389269,0.313,1000
learned_active,6,profile_mae,0.1538738958687155,0.314,1000
learned_active,6,profile_mae,0.1543602492725286,0.315,1000
learned_active,6,profile_mae,0.1550502868643503,0.316,1000
learned_active,6,profile_mae,0.1554817891881778,0.317,1000
learned_active,6,profile_mae,0.1555518577292614,0.318,1000
learned_active,6,profile_mae,0.1555769161834188,0.319,1000
learned_active,6,profile_mae,0.1557506184792997,0.32,1000
learned_active,6,profile_mae,0.1562688841789084,0.321,1000
learned_active,6,profile_mae,0.1575532671254765,0.322,1000
learned_active,6,profile_mae,0.1580476952392809,0.323,1000
learned_active,6,profile_mae,0.1583378455388285,0.324,1000
learned_active,6,profile_mae,0.1584902745791044,0.325,1000
learned_active,6,profile_mae,0.1586809298716985,0.326,1000
learned_active,6,profile_mae,0.1589675151210617,0.327,1000
learned_active,6,profile_mae,0.1592291426345262,0.328,1000
learned_active,6,profile_mae,0.1592664776264972,0.329,1000
learned_active,6,profile_mae,0.159493541926408,0.33,1000
learned_active,6,profile_mae,0.1599060465074515,0.331,1000
learned_active,6,profile_mae,0.1599437523431933,0.332,1000
learned_active,6,profile_mae,0.1600874193452111,0.333,1000
learned_active,6,profile_mae,0.1611400318909487,0.334,1000
learned_active,6,profile_mae,0.1619963230726608,0.335,1000
learned_active,6,profile_mae,0.1624436566181567,0.336,1000
learned_active,6,profile_mae,0.1624518276509949,0.337,1000
learned_active,6,profile_mae,0.1627616368582825,0.338,1000
learned_active,6,profile_mae,0.163299563669376,0.339,1000
learned_active,6,profile_mae,0.1641212961753614,0.34,1000
learned_active,6,profile_mae,0.1650063576245705,0.341,1000
learned_active,6,profile_mae,0.1650948279430006,0.342,1000
learned_active,6,profile_mae,0.1652954338862708,0.343,1000
learned_active,6,profile_mae,0.1653305245892218,0.344,1000
learned_active,6,profile_mae,0.1659149795526985,0.345,1000
learned_active,6,profile_mae,0.1667369726158948,0.346,1000
learned_active,6,profile_mae,0.1668886440233601,0.347,1000
learned_active,6,profile_mae,0.1670063852085931,0.348,1000
learned_active,6,profile_mae,0.1673859065867733,0.349,1000
learned_active,6,profile_mae,0.167954855788938,0.35,1000
learned_active,6,profile_mae,0.1683422921073722,0.351,1000
learned_active,6,profile_mae,0.1688006074200091,0.352,1000
learned_active,6,profile_mae,0.1698168612296357,0.353,1000
learned_active,6,profile_mae,0.1700791009471665,0.354,1000
learned_active,6,profile_mae,0.1702125087349071,0.355,1000
learned_active,6,profile_mae,0.1703577598032546,0.356,1000
learned_active,6,profile_mae,0.1704295773042088,0.357,1000
learned_active,6,profile_mae,0.1704970929028554,0.358,1000
learned_active,6,profile_mae,0.1705811709469338,0.359,1000
learned_active,6,profile_mae,0.1712551558027582,0.36,1000
learned_active,6,profile_mae,0.1714820626754378,0.361,1000
learned_active,6,profile_mae,0.1723645359046414,0.362,1000
learned_active,6,profile_mae,0.1726660539839705,0.363,1000
learned_active,6,profile_mae,0.1727483010227128,0.364,1000
learned_active,6,profile_mae,0.1727970861609601,0.365,1000
learned_active,6,profile_mae,0.1728070300340437,0.366,1000
learned_active,6,profile_mae,0.1731900401904315,0.367,1000
learned_active,6,profile_mae,0.1733091192648942,0.368,1000
learned_active,6,profile_mae,0.1735951501742453,0.369,1000
learned_active,6,profile_mae,0.173840346812571,0.37,1000
learned_active,6,profile_mae,0.1743559157425464,0.371,1000
learned_active,6,profile_mae,0.174911079669456,0.372,1000
learned_active,6,profile_mae,0.1749264320706678,0.373,1000
learned_active,6,profile_mae,0.1756752278804713,0.374,1000
learned_active,6,profile_mae,0.1760811789132091,0.375,1000
learned_active,6,profile_mae,0.1768994676352539,0.376,1000
learned_active,6,profile_mae,0.1786782149078364,0.377,1000
learned_active,6,profile_mae,0.1786841427530017,0.378,1000
learned_active,6,profile_mae,0.1792630883252098,0.379,1000
learned_active,6,profile_mae,0.179926467946587,0.38,1000
learned_active,6,profile_mae,0.1806286749737154,0.381,1000
learned_active,6,profile_mae,0.1809913249128536,0.382,1000
learned_active,6,profile_mae,0.1812540825851485,0.383,1000
learned_active,6,profile_mae,0.1813515649100989,0.384,1000
learned_active,6,profile_mae,0.1820285859731466,0.385,1000
learned_active,6,profile_mae,0.1824440117847741,0.386,1000
learned_active,6,profile_mae,0.1826028342640906,0.387,1000
learned_active,6,profile_mae,0.1830449218737138,0.388,1000
learned_active,6,profile_mae,0.1834337826605689,0.389,1000
learned_active,6,profile_mae,0.1837306571855236,0.39,1000
learned_active,6,profile_mae,0.1847143846196743,0.391,1000
